No,Node,Bed Level,Top Level,nChannels,Channels
    44,"FC01.1_R.1",      45.399,      52.324,    1,"FC01.1_R"
    45,"FC01.1_R.2",      44.499,      51.424,    1,"FC01.1_R"
    42,"FC01.2_R.1",      37.599,      43.883,    1,"FC01.2_R"
    43,"FC01.2_R.2",      37.499,      43.783,    1,"FC01.2_R"
    40,"FC04.1_C.1",      43.349,      49.633,    1,"FC04.1_C"
    41,"FC04.1_C.2",      42.749,      49.033,    1,"FC04.1_C"
    20,"Pipe16.2",      39.799,      45.762,    1,"Pipe16"
     1,"Pit1",      41.601,      47.243,    2,"Pipe0","Pit1"
    21,"Pit1.1",      43.244,      48.244,    1,"Pit1"
    10,"Pit10",      40.765,      46.407,    3,"Pipe13","Pipe11","Pit10"
    30,"Pit10.1",      42.753,      47.753,    1,"Pit10"
    11,"Pit11",      40.659,      46.301,    3,"Pipe14","Pipe13","Pit11"
    31,"Pit11.1",      42.776,      47.776,    1,"Pit11"
    12,"Pit12",      40.525,      46.168,    3,"Pipe17","Pipe14","Pit12"
    32,"Pit12.1",      42.811,      47.811,    1,"Pit12"
    13,"Pit13",      39.999,      45.962,    4,"Pipe17","Pipe16","Pipe15","Pit13"
    33,"Pit13.1",      42.837,      47.837,    1,"Pit13"
    14,"Pit14",      40.868,      46.510,    3,"Pipe6","Pipe15","Pit14"
    34,"Pit14.1",      42.860,      47.860,    1,"Pit14"
    15,"Pit15",      40.973,      46.615,    3,"Pipe6","Pipe5","Pit15"
    35,"Pit15.1",      42.989,      47.989,    1,"Pit15"
    16,"Pit16",      41.145,      46.787,    3,"Pipe5","Pipe19","Pit16"
    36,"Pit16.1",      43.136,      48.136,    1,"Pit16"
    17,"Pit17",      41.317,      46.959,    4,"Pipe2","Pipe9","Pipe8","Pit17"
    37,"Pit17.1",      43.281,      48.281,    1,"Pit17"
    18,"Pit18",      41.412,      47.054,    3,"Pipe7","Pipe8","Pit18"
    38,"Pit18.1",      43.322,      48.322,    1,"Pit18"
    19,"Pit19",      41.697,      47.339,    2,"Pipe7","Pit19"
    39,"Pit19.1",      43.340,      48.340,    1,"Pit19"
     2,"Pit2",      41.467,      47.109,    3,"Pipe1","Pipe0","Pit2"
    22,"Pit2.1",      43.216,      48.216,    1,"Pit2"
     3,"Pit3",      41.348,      46.991,    4,"Pipe19","Pipe1","Pipe4","Pit3"
    23,"Pit3.1",      43.277,      48.277,    1,"Pit3"
     4,"Pit4",      41.450,      47.092,    3,"Pipe3","Pipe4","Pit4"
    24,"Pit4.1",      43.308,      48.308,    1,"Pit4"
     5,"Pit5",      41.899,      47.541,    2,"Pipe3","Pit5"
    25,"Pit5.1",      43.277,      48.277,    1,"Pit5"
     6,"Pit6",      41.671,      47.313,    2,"Pipe2","Pit6"
    26,"Pit6.1",      43.253,      48.253,    1,"Pit6"
     7,"Pit7",      41.154,      46.797,    3,"Pipe10","Pipe9","Pit7"
    27,"Pit7.1",      43.147,      48.147,    1,"Pit7"
     8,"Pit8",      40.987,      46.630,    3,"Pipe12","Pipe10","Pit8"
    28,"Pit8.1",      43.005,      48.005,    1,"Pit8"
     9,"Pit9",      40.807,      46.449,    3,"Pipe12","Pipe11","Pit9"
    29,"Pit9.1",      42.864,      47.864,    1,"Pit9"
